latitude,longitude,Condoms_Male
40.74255753,-73.99778748,1
40.67840195,-73.98356628,1
40.637146,-74.1339798,1
40.74605942,-73.89877319,1
40.66312408,-73.92565918,1
40.73916626,-73.97686005,1
40.86152649,-73.89881134,1
40.63472748,-74.1096344,1
40.7257309,-73.98377991,1
40.71899414,-73.98606873,1
40.6811409,-73.88089752,1
40.86455536,-73.92154694,1
40.82564926,-73.89191437,1
40.79990005,-73.93561554,1
40.64947128,-73.95849609,1
40.6593132,-73.93411255,1
40.84294891,-73.88616943,1
40.73444366,-74.00166321,1
40.66903687,-73.92552185,1
40.79040909,-73.94602966,1
40.75694656,-73.99369049,1
40.76478195,-73.99590302,1
40.84857941,-73.9180603,1
40.68000031,-73.94262695,1
40.63573837,-73.91355133,1
40.76334763,-73.91542053,1
40.66922379,-73.93106842,1
40.80521011,-73.9414978,1
40.71805954,-73.95748901,1
40.84407806,-73.89447784,1
40.75550079,-73.99738312,1
40.83411407,-73.92003632,1
40.83704376,-73.91754913,1
40.87445068,-73.88557434,1
40.74967575,-73.88502502,1
40.65250778,-73.92350769,1
40.75665665,-73.99390411,1
40.72143173,-73.97819519,1
40.75494003,-73.99217224,1
40.69750214,-73.93041992,1
40.87945175,-73.87511444,1
40.68728638,-73.93888855,1
40.68300629,-73.91178894,1
40.73178101,-74.00331116,1
40.68564606,-73.94145966,1
40.71394348,-73.98353577,1
40.81790543,-73.91694641,1
40.7118454,-73.94064331,1
40.66727066,-73.98786926,1
40.86375046,-73.91943359,1
40.67927933,-73.96826172,1
40.80921936,-73.93718719,1
40.70487595,-74.01593018,1
40.77713394,-73.95406342,1
40.74681091,-73.99365234,1
40.83140564,-73.90110016,1
40.66343307,-73.92521667,1
40.74495316,-73.99871826,1
40.68639755,-73.98349762,1
40.72253799,-73.98609924,1
40.82522964,-73.95133972,1
40.73204422,-74.00140381,1
40.83040237,-73.94753265,1
40.67197037,-73.89524841,1
40.83240509,-73.9099884,1
40.75849915,-73.91936493,1
40.67747498,-73.93175507,1
40.67983627,-73.93935394,1
40.71090317,-73.77056885,1
40.67947006,-73.88614655,1
40.68625259,-73.91635895,1
40.8370285,-73.94271088,1
40.7618103,-73.99271393,1
40.66818237,-73.91036987,1
40.73914719,-74.00112915,1
40.81845093,-73.91867065,1
40.75006104,-73.88119507,1
40.64959335,-73.93016052,1
40.67165375,-73.93083954,1
40.74633408,-73.89134216,1
40.82780838,-73.94942474,1
40.71366119,-73.94931793,1
40.79822922,-73.96359253,1
40.71276474,-73.9885788,1
40.76038361,-73.99490356,1
40.86240768,-73.90359497,1
40.63507462,-73.91392517,1
40.74956894,-73.9953537,1
